iter	Passed	Remaining
748	21609	6174
749	21637	6145
750	21666	6116
751	21694	6087
752	21724	6058
753	21751	6029
754	21780	6000
755	21808	5971
756	21836	5942
757	21864	5913
758	21894	5884
759	21921	5855
760	21950	5826
761	21978	5797
762	22007	5768
763	22036	5739
764	22064	5710
765	22093	5681
766	22121	5653
767	22150	5624
768	22179	5595
769	22207	5566
770	22236	5537
771	22264	5508
772	22292	5479
773	22321	5450
774	22349	5421
775	22377	5392
776	22405	5363
777	22434	5334
778	22468	5307
779	22499	5278
780	22528	5249
781	22567	5223
782	22607	5197
783	22637	5168
784	22667	5139
785	22695	5110
786	22724	5081
787	22754	5053
788	22786	5025
789	22815	4996
790	22843	4967
791	22872	4938
792	22902	4909
793	22930	4880
794	22957	4851
795	22987	4822
796	23015	4793
797	23043	4764
798	23072	4735
799	23100	4706
800	23130	4678
801	23159	4649
802	23189	4620
803	23218	4591
804	23247	4562
805	23277	4534
806	23306	4505
807	23335	4476
808	23363	4447
809	23392	4418
810	23421	4389
811	23449	4360
812	23478	4331
813	23506	4302
814	23534	4273
815	23562	4244
816	23591	4215
817	23620	4187
818	23648	4157
819	23675	4128
820	23703	4099
821	23731	4070
822	23760	4041
823	23788	4012
824	23817	3984
825	23846	3955
826	23874	3926
827	23903	3897
828	23931	3868
829	23960	3839
830	23989	3810
831	24018	3781
832	24047	3752
833	24076	3724
834	24105	3695
835	24133	3666
836	24163	3637
837	24191	3608
838	24219	3579
839	24248	3550
840	24276	3521
841	24304	3492
842	24333	3463
843	24361	3434
844	24388	3405
845	24417	3376
846	24446	3348
847	24475	3319
848	24503	3290
849	24532	3261
850	24561	3232
851	24589	3203
852	24618	3174
853	24647	3145
854	24675	3116
855	24703	3087
856	24730	3058
857	24759	3030
858	24786	3000
859	24816	2972
860	24845	2943
861	24874	2914
862	24904	2885
863	24932	2856
864	24959	2827
865	24987	2798
866	25016	2770
867	25044	2741
868	25073	2712
869	25101	2683
870	25130	2654
871	25159	2625
872	25188	2596
873	25216	2567
874	25245	2538
875	25273	2510
876	25302	2481
877	25331	2452
878	25359	2423
879	25388	2394
880	25418	2365
881	25448	2337
882	25476	2308
883	25504	2279
884	25532	2250
885	25561	2221
886	25589	2192
887	25618	2163
888	25646	2134
889	25674	2105
890	25703	2077
891	25731	2048
892	25764	2019
893	25792	1990
894	25820	1961
895	25848	1932
896	25875	1903
897	25904	1875
898	25932	1846
899	25960	1817
900	25989	1788
901	26017	1759
902	26046	1730
903	26075	1701
904	26103	1672
905	26130	1643
906	26160	1615
907	26188	1586
908	26216	1557
909	26244	1528
910	26273	1499
911	26300	1470
912	26328	1441
913	26358	1413
914	26387	1384
915	26417	1355
916	26445	1326
917	26474	1297
918	26502	1268
919	26529	1239
920	26558	1211
921	26586	1182
922	26616	1153
923	26645	1124
924	26672	1095
925	26701	1066
926	26728	1038
927	26757	1009
928	26784	980
929	26812	951
930	26840	922
931	26869	893
932	26897	864
933	26926	836
934	26955	807
935	26983	778
936	27011	749
937	27039	720
938	27068	691
939	27098	663
940	27128	634
941	27156	605
942	27184	576
943	27213	547
944	27241	518
945	27270	490
946	27302	461
947	27329	432
948	27357	403
949	27385	374
950	27413	345
951	27442	317
952	27470	288
953	27508	259
954	27544	230
955	27576	201
956	27605	173
957	27633	144
958	27659	115
959	27690	86
960	27721	57
961	27750	28
962	27778	0
